"","WT_t0_R1","WT_t0_R2","WT_t0_R3","WT_t0.5_R1","WT_t0.5_R2","WT_t0.5_R3","chl1_t0_R1","chl1_t0_R2","chl1_t0_R3","chl1_t0.5_R1","chl1_t0.5_R2","chl1_t0.5_R3"
"AT5G45340",6.90097496600457,6.71115025110602,6.58986649195483,10.5399270708984,10.3670412893088,10.6929502262567,6.67168332333783,6.53966777078215,6.79976707788285,10.3262347423555,10.1740959038201,10.610889414355
"AT2G15620",7.10982970327541,7.48690529005146,7.37825948077419,12.5320843208765,12.6920607839504,12.5904679454223,6.99174038171719,7.78517975978124,7.28161453301209,12.0524042057228,12.3320188650456,12.2925783303152
"AT5G40850",8.33977004616662,8.35902145448323,8.37512461300111,11.5855560456885,11.5580596639874,11.5535224637525,8.27521500926268,8.46525974829197,8.60323746678867,10.7670218182688,11.0934062266492,11.1235905286568
"AT1G78050",6.96003220609893,6.6040801378283,6.63833711736956,11.152595786353,11.2848319473805,10.9509963948783,6.91837594204369,6.74072952701956,6.85326700523776,9.99982826310931,10.3274109648256,10.5518707629665
"AT1G24280",6.83284140906327,6.97742073419499,6.81058111952781,11.2423323659914,11.6214609064655,11.1029158075858,6.66054878941678,7.08505232712101,6.92218898351262,10.2191545963855,10.6850403218321,10.7276731193141
"AT1G30510",9.6450362340717,9.85153833913236,9.78247571251331,12.3929929070671,12.436129220857,12.3167850193241,9.57704382859906,9.93348070192116,9.8682251126499,11.8093941116796,11.7639911325752,11.9457085177727
"AT4G09620",6.53420128811909,6.42858847144196,6.30997452661387,8.63511680729833,8.57617301536868,8.59526262976345,6.73319602109749,6.56001867406531,6.7695767111621,8.143488316703,8.17373032340002,8.26101809477902
"AT1G70410",10.3964403188939,10.3166299919461,10.258516458987,12.1578143003571,12.2217669817519,12.099922155889,10.4520735640365,10.2844974758668,10.3102901900471,11.7249184624236,11.8514210896386,11.67617787553
"AT1G49500",7.64358024563369,7.12007420789566,7.5937714491584,11.002126347542,11.0869041506673,10.8513435660988,7.71593334694012,7.56715683733831,7.70775973378811,9.85765525268068,10.2904609616843,10.3102279940861
"AT5G67420",7.67620614745168,7.60219870231656,7.55059046886838,11.0358478227696,11.2949072419359,11.4551396384169,7.75373039659161,7.44508397321802,7.62943110634915,10.461109155586,11.1670893814175,11.0990013821323
"AT3G47980",4.19733598258667,4.57697213480137,4.5764317494286,7.49147720740151,7.53746335608822,7.24686509519586,4.45058116571828,4.54026796514029,4.72880548534748,6.90489546554238,7.39699824198513,7.14190220682648
"AT1G37130",7.93217772245608,8.12694262567965,7.65474517263531,10.9842362000977,11.0724434278099,10.9006886776712,8.02234140653227,8.06601394144565,7.54194982776899,10.2621086409581,10.5044097269736,10.5419903401635
"AT1G12110",9.94184375229856,10.0204050752423,9.84905744823228,12.1620674288667,11.9146044011159,11.3916406470606,4.65356378224464,4.62122229175749,4.42261724123834,5.62438226291508,7.05284200827144,5.2762476766628
"AT4G05390",9.14066399382412,9.21547607558831,8.97710382268605,11.5481869919269,11.6225991641738,11.4080042248503,9.08903671037632,9.02126018032186,9.18056381904,10.3435677848064,10.5497454558043,10.7735211249468
"AT5G10030",6.5298944019524,6.75316123822614,6.58666855542859,8.62355268792405,8.61351803306105,8.53438950543154,6.68765273355921,6.75942835810559,6.75010986000559,7.87439170616385,8.20120899775984,7.92503746173976
"AT2G26980",7.08023156972169,6.77542061551108,7.05844501226649,9.82062456717269,9.64451186231532,9.4924058655425,6.90395532656394,6.93896722775699,7.15843150005404,8.42714742866539,8.74219568678037,8.63769457734038
"AT5G13110",8.72614314998206,8.61818300195162,8.64485870504802,11.2619371946075,11.397267093438,11.29336538763,8.4539743489986,8.58872310468699,8.72723155643907,10.2768931046478,10.7001454679638,10.8578327218873
"AT5G41670",9.72790264676471,9.83058269382986,9.7370260668683,12.1027521559889,11.9759539275094,11.8575199312235,9.52096540990296,9.9823714099304,9.73966292014833,11.2480220941925,11.4027388942331,11.5344681886395
"AT5G19970",6.93144471439874,7.07495004934449,6.56590193350358,9.73792057839725,9.7739902481208,9.57451984436803,7.30453181338368,7.11201882968922,7.17038159732929,8.41894511336201,8.31236244100733,8.05763812465638
"AT4G32950",5.89484878770419,6.14801889333885,5.97164835343061,10.851359742337,10.8732252724811,9.94932533832661,6.3356244786621,6.88630311603018,6.34651202755221,10.7891410467877,11.0966313700138,10.0189548471029
"AT1G08090",7.81223567525506,8.42868386699578,8.04589562511317,11.7301686038902,11.8574759352941,11.6334846659349,7.96043834343254,8.59268861792467,8.38874024580033,10.8786503561441,11.5101239186421,11.1046873644175
"AT4G31910",8.94818158196086,8.94521484294649,8.55684232967033,11.0242064635303,11.2013485386875,10.898995335518,8.88076500111049,9.04812959343999,8.6411775861456,10.8790855186809,10.9754528101023,10.8768684493653
"AT2G48080",5.19215260706939,5.88987185538033,5.74881762722555,10.464645120699,10.9644639604463,10.6208861818461,5.32626028798951,6.06015931772325,6.21287832429765,9.06251372421647,9.76988749902357,9.61281233088489
"AT2G17230",7.28503143176341,7.31629344119549,7.4794846054084,8.8564422010405,9.02813883474892,9.0894490880848,7.04919338836723,7.39878888986999,7.29506463374023,9.00920531222004,9.07639408534394,8.92472285911771
"AT1G63940",9.48908400553363,9.68610533115826,9.49332719805136,11.4846694161614,11.5266672424626,11.372198333053,9.2990106330064,9.64778710185125,9.5084957858769,10.5432802135467,10.7591731952245,10.7232406316114
"AT1G16340",7.18770433440376,7.64235724256372,7.00020460680123,7.13101949441836,7.15985536030949,6.89749656528317,4.73141192564555,4.30081319845881,4.59806172469929,4.38667433336225,4.6281708687693,4.09842924821663
"AT1G64190",10.6150036106217,10.7875626907447,10.7884160533339,12.5141136308016,12.6216554741527,12.6562354971482,10.5230010862521,10.723101744701,10.7561477815555,11.8835354331856,12.1156183969837,12.2307395650191
"AT4G36010",7.40370238461496,7.1750649445027,6.48924892886753,10.61221664194,10.8265382827353,10.3390296387114,7.22889446267097,7.068122886279,6.89991702167946,10.0117332488942,10.3601801097608,10.0387887233137
"AT1G15550",7.28000643452985,7.58386894532847,7.38552420277412,9.19143561218785,9.04927056420789,8.8989533533606,7.41851586951466,7.39367024538891,7.31010256484313,8.82129858938589,8.64435456860933,8.80865081911722
"AT5G65210",9.30068833243357,9.28301329111982,9.39627577646553,10.9374717786602,11.0397622527344,10.8982008436499,9.31339605400065,9.48416828186291,9.46744432627982,10.5376930175405,10.9086103713951,10.7302343682828
"AT1G12090",10.5566258400999,11.0131956562996,10.2139071781286,10.7510531189698,10.4082356378576,9.84691672901219,4.62870200770919,5.66171072347441,5.07713370908692,4.87682148926674,5.8826407497771,4.13985221772456
"AT3G52360",9.67684400430292,9.88353288187022,9.74542297244126,11.5925303361671,11.5629762209682,11.2491794217158,9.92759417681075,9.96857102206902,10.1121934299704,11.231082486475,11.2689226115146,10.9711969151757
"AT5G62720",4.83582301260228,5.07097345921351,4.92743603282947,7.03452958997072,7.0149890508745,6.60251971307494,4.76890863150744,4.66759608551271,4.81047174056639,6.04359470464111,6.14211276419202,6.48276627039117
"AT3G49940",9.7493745661866,10.112259369612,9.94665767736662,11.5971716946948,11.7151086588662,11.8196965426279,9.84406780438754,10.0485722317879,10.2912260118987,11.5282937074,11.5681855506374,11.6794363200455
"AT5G01740",5.67122630061682,6.18046488157302,6.06199529814605,9.27140681458055,9.62739936067274,9.10650193338327,5.79591018692907,6.1994434374073,5.76740295723796,6.85875814598177,7.64607594966249,7.30199278346521
"AT1G67910",4.81300471720296,4.57332480909571,4.47501314811743,6.89184961359227,7.06418568809546,6.63999131108534,4.53318129437942,4.37488766617398,4.76715409958715,5.90597938366506,6.35560910777376,6.18645552475187
"AT4G02380",10.3331409225231,9.98633503016802,9.74177421903838,12.623260473154,12.618764448378,12.6076979310761,10.5493172686892,10.1220094871715,10.0023826948146,11.8551089667826,12.0787525557969,12.2181657770219
"AT1G21590",8.0315385082529,7.9623909895028,7.90323994618245,6.39093292432672,6.17226213839651,6.53187127913425,7.91720466540093,7.88482297783615,7.9572699702563,6.67963308253384,6.22788159568064,6.63963965434443
